% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
16713	1	1	1	0	28	2196	0	1	0
16813	1	1	1	0	28	2196	0	1	0
16913	1	1	1	0	28	2196	0	1	0
17013	1	1	1	0	28	2196	0	1	0
17113	1	1	1	0	28	2196	0	1	0
17213	1	1	1	0	28	2196	0	1	0
17313	1	1	1	0	28	2196	0	1	0
17413	1	1	1	0	28	2196	0	1	0
17513	1	1	1	0	28	2196	0	1	0
17613	1	1	1	0	28	2196	0	1	0
17713	1	1	1	0	28	2196	0	1	0
17813	1	1	1	0	28	2196	0	1	0
17913	1	1	1	0	28	2196	0	1	0
18013	1	1	1	0	28	2196	0	1	0
18113	1	1	1	0	28	2196	0	1	0
18213	1	1	1	0	28	2196	0	1	0
18313	1	1	1	0	28	2196	0	1	0
18413	1	1	1	0	28	2196	0	1	0
18513	1	1	1	0	28	2196	0	1	0
18613	1	1	1	0	28	2196	0	1	0
18713	1	1	1	0	28	2196	0	1	0
18813	1	1	1	0	28	2196	0	1	0
18913	1	1	1	0	28	2196	0	1	0
19013	1	1	1	0	28	2196	0	1	0
19113	1	1	1	0	28	2196	0	1	0
19213	1	1	1	0	28	2196	0	1	0
19313	1	1	1	0	28	2196	0	1	0
19413	1	1	1	0	28	2196	0	1	0
19513	1	1	1	0	28	2196	0	1	0
19613	1	1	1	0	28	2196	0	1	0
19713	1	1	1	0	28	2196	0	1	0
19813	1	1	1	0	28	2196	0	1	0
19913	1	1	1	0	28	2196	0	1	0
20013	1	1	1	0	28	2196	0	1	0
20113	1	1	1	0	28	2196	0	1	0
20213	1	1	1	0	28	2196	0	1	0
20313	1	1	1	0	28	2196	0	1	0
20413	1	1	1	0	28	2196	0	1	0
20513	1	1	1	0	28	2196	0	1	0
20613	1	1	1	0	28	2196	0	1	0
20713	1	1	1	0	28	2196	0	1	0
20813	1	1	1	0	28	2196	0	1	0
20913	1	1	1	0	28	2196	0	1	0
21013	1	1	1	0	28	2196	0	1	0
21113	1	1	1	0	28	2196	0	1	0
21213	1	1	1	0	28	2196	0	1	0
21313	1	1	1	0	28	2196	0	1	0
21413	1	1	1	0	28	2196	0	1	0
21513	1	1	1	0	28	2196	0	1	0
21613	1	1	1	0	28	2196	0	1	0
21713	1	1	1	0	28	2196	0	1	0
21813	1	1	1	0	28	2196	0	1	0
