% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
37.641	1	1	1	5324.57	0
37.681	1	1	1	5324.57	0
37.721	1	1	1	5324.57	0
37.761	1	1	1	5324.57	0
37.801	1	1	1	5324.57	0
37.841	1	1	1	5324.57	0
37.881	1	1	1	5324.57	0
37.921	1	1	1	5324.57	0
37.961	1	1	1	5324.57	0
38.001	1	1	1	5324.57	0
38.041	1	1	1	5324.57	0
38.081	1	1	1	5324.57	0
38.121	1	1	1	5324.57	0
38.161	1	1	1	5324.57	0
38.201	1	1	1	5324.57	0
38.241	1	1	1	5324.57	0
38.281	1	1	1	5324.57	0
38.321	1	1	1	5324.57	0
38.361	1	1	1	5324.57	0
38.401	1	1	1	5324.57	0
38.441	1	1	1	5324.57	0
38.481	1	1	1	5324.57	0
38.521	1	1	1	5324.57	0
38.561	1	1	1	5324.57	0
38.601	1	1	1	5324.57	0
38.641	1	1	1	5324.57	0
38.681	1	1	1	5324.57	0
38.721	1	1	1	5324.57	0
38.761	1	1	1	5324.57	0
38.801	1	1	1	5324.57	0
38.841	1	1	1	5324.57	0
38.881	1	1	1	5324.57	0
38.921	1	1	1	5324.57	0
38.961	1	1	1	5324.57	0
39.001	1	1	1	5324.57	0
39.041	1	1	1	5324.57	0
39.081	1	1	1	5324.57	0
39.121	1	1	1	5324.57	0
39.161	1	1	1	5324.57	0
39.201	1	1	1	5324.57	0
39.241	1	1	1	5324.57	0
39.281	1	1	1	5324.57	0
39.321	1	1	1	5324.57	0
39.361	1	1	1	5324.57	0
39.401	1	1	1	5324.57	0
39.441	1	1	1	5324.57	0
39.481	1	1	1	5324.57	0
39.521	1	1	1	5324.57	0
39.561	1	1	1	5324.57	0
39.601	1	1	1	5324.57	0
39.641	1	1	1	5324.57	0
39.681	1	1	1	5324.57	0
39.721	1	1	1	5324.57	0
39.761	1	1	1	5324.57	0
39.801	1	1	1	5324.57	0
39.841	1	1	1	5324.57	0
39.881	1	1	1	5324.57	0
39.921	1	1	1	5324.57	0
39.961	1	1	1	5324.57	0
40.001	1	1	1	5324.57	0
40.041	1	1	1	5324.57	0
40.081	1	1	1	5324.57	0
40.121	1	1	1	5324.57	0
40.161	1	1	1	5324.57	0
40.201	1	1	1	5324.57	0
40.241	1	1	1	5324.57	0
40.281	1	1	1	5324.57	0
40.321	1	1	1	5324.57	0
40.361	1	1	1	5324.57	0
40.401	1	1	1	5324.57	0
40.441	1	1	1	5324.57	0
40.481	1	1	1	5324.57	0
40.521	1	1	1	5324.57	0
40.561	1	1	1	5324.57	0
40.601	1	1	1	5324.57	0
40.641	1	1	1	5324.57	0
40.681	1	1	1	5324.57	0
40.721	1	1	1	5324.57	0
40.761	1	1	1	5324.57	0
40.801	1	1	1	5324.57	0
40.841	1	1	1	5324.57	0
40.881	1	1	1	5324.57	0
40.921	1	1	1	5324.57	0
40.961	1	1	1	5324.57	0
41.001	1	1	1	5324.57	0
41.041	1	1	1	5324.57	0
41.081	1	1	1	5324.57	0
41.121	1	1	1	5324.57	0
41.161	1	1	1	5324.57	0
41.201	1	1	1	5324.57	0
41.241	1	1	1	5324.57	0
41.281	1	1	1	5324.57	0
41.321	1	1	1	5324.57	0
41.361	1	1	1	5324.57	0
41.401	1	1	1	5324.57	0
41.441	1	1	1	5324.57	0
41.481	1	1	1	5324.57	0
41.521	1	1	1	5324.57	0
41.561	1	1	1	5324.57	0
41.601	1	1	1	5324.57	0
41.641	1	1	1	5324.57	0
41.681	1	1	1	5324.57	0
41.721	1	1	1	5324.57	0
41.761	1	1	1	5324.57	0
41.801	1	1	1	5324.57	0
41.841	1	1	1	5324.57	0
41.881	1	1	1	5324.57	0
41.921	1	1	1	5324.57	0
41.961	1	1	1	5324.57	0
42.001	1	1	1	5324.57	0
42.041	1	1	1	5324.57	0
42.081	1	1	1	5324.57	0
42.121	1	1	1	5324.57	0
42.161	1	1	1	5324.57	0
42.201	1	1	1	5324.57	0
42.241	1	1	1	5324.57	0
42.281	1	1	1	5324.57	0
42.321	1	1	1	5324.57	0
42.361	1	1	1	5324.57	0
42.401	1	1	1	5324.57	0
42.441	1	1	1	5324.57	0
42.481	1	1	1	5324.57	0
42.521	1	1	1	5324.57	0
42.561	1	1	1	5324.57	0
42.601	1	1	1	5324.57	0
42.641	1	1	1	5324.57	0
42.681	1	1	1	5324.57	0
42.721	1	1	1	5324.57	0
42.761	1	1	1	5324.57	0
42.801	1	1	1	5324.57	0
42.841	1	1	1	5324.57	0
42.881	1	1	1	5324.57	0
42.921	1	1	1	5324.57	0
42.961	1	1	1	5324.57	0
43.001	1	1	1	5324.57	0
43.041	1	1	1	5324.57	0
43.081	1	1	1	5324.57	0
43.121	1	1	1	5324.57	0
43.161	1	1	1	5324.57	0
43.201	1	1	1	5324.57	0
43.241	1	1	1	5324.57	0
43.281	1	1	1	5324.57	0
43.321	1	1	1	5324.57	0
43.361	1	1	1	5324.57	0
43.401	1	1	1	5324.57	0
43.441	1	1	1	5324.57	0
43.481	1	1	1	5324.57	0
43.521	1	1	1	5324.57	0
43.561	1	1	1	5324.57	0
43.601	1	1	1	5324.57	0
43.641	1	1	1	5324.57	0
43.681	1	1	1	5324.57	0
43.721	1	1	1	5324.57	0
43.761	1	1	1	5324.57	0
43.801	1	1	1	5324.57	0
43.841	1	1	1	5324.57	0
43.881	1	1	1	5324.57	0
43.921	1	1	1	5324.57	0
43.961	1	1	1	5324.57	0
44.001	1	1	1	5324.57	0
44.041	1	1	1	5324.57	0
44.081	1	1	1	5324.57	0
44.121	1	1	1	5324.57	0
44.161	1	1	1	5324.57	0
44.201	1	1	1	5324.57	0
44.241	1	1	1	5324.57	0
44.281	1	1	1	5324.57	0
44.321	1	1	1	5324.57	0
44.361	1	1	1	5324.57	0
44.401	1	1	1	5324.57	0
44.441	1	1	1	5324.57	0
44.481	1	1	1	5324.57	0
44.521	1	1	1	5324.57	0
44.561	1	1	1	5324.57	0
44.601	1	1	1	5324.57	0
44.641	1	1	1	5324.57	0
44.681	1	1	1	5324.57	0
44.721	1	1	1	5324.57	0
44.761	1	1	1	5324.57	0
44.801	1	1	1	5324.57	0
44.841	1	1	1	5324.57	0
44.881	1	1	1	5324.57	0
44.921	1	1	1	5324.57	0
44.961	1	1	1	5324.57	0
45.001	1	1	1	5324.57	0
45.041	1	1	1	5324.57	0
45.081	1	1	1	5324.57	0
45.121	1	1	1	5324.57	0
45.161	1	1	1	5324.57	0
45.201	1	1	1	5324.57	0
45.241	1	1	1	5324.57	0
45.281	1	1	1	5324.57	0
45.321	1	1	1	5324.57	0
45.361	1	1	1	5324.57	0
45.401	1	1	1	5324.57	0
45.441	1	1	1	5324.57	0
45.481	1	1	1	5324.57	0
45.521	1	1	1	5324.57	0
45.561	1	1	1	5324.57	0
45.601	1	1	1	5324.57	0
45.641	1	1	1	5324.57	0
45.681	1	1	1	5324.57	0
